,protein,total_fat,carbohydrates,label,name,food_energy,labels_names
2035,0.280800015,0.062399998,6.822400093,16,"אננס, עם חלקים שאינם ראויים לאכילה",26.0,10.2 משקאות ממותקים בתחליפי סוכר 2 קבוצת הירקות 3 קבוצת הפירות
2036,0.430000007,0.090000004,7.5,16,"אננס, מבושל או משומר, ללא תוספת סוכר, במים",32.0,10.2 משקאות ממותקים בתחליפי סוכר 2 קבוצת הירקות 3 קבוצת הפירות
2037,0.349999994,0.109999999,19.39999962,14,"אננס, מבושל או משומר, בסירופ כבד",78.0,1.1 דגנים מלאים 1.5 ירקות עמילניים 6.2 מוצרי חלב ממותקים בסוכר
2038,0.360000014,0.119999997,12.64999962,28,"אננס, מבושל או משומר, בסירופ קל",52.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2039,0.50999999,0.109999999,14.26000023,28,"אננס, מבושל או משומר, ללא נוזלים",60.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2040,0.419999987,0.079999998,14.89999962,28,"אננס, מבושל או משומר, במיץ",60.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2041,0.699999988,0.280000001,11.42000008,28,"שזיף, חי",46.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2042,0.370499998,0.0095,10.47850037,28,"שזיף, מבושל או משומר, עם גלעין",38.95000076,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2043,0.657999992,0.263200015,10.73480034,28,"שזיף, עם גלעין",43.24000168,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2044,0.389999986,0.01,10.13000011,28,"שזיף, מבושל או משומר, ללא תוספת סוכר במים",41.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2045,0.370000005,0.100000001,15.38000011,28,"שזיף, מבושל או משומר, בסירופ קל",63.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2046,0.439999998,0.140000001,21.62000084,20,"שזיף, מבושל או משומר, ללא נוזלים",89.0,1.3 דגנים לא מלאים
2047,0.50999999,0.02,14.25,28,"שזיף, מבושל או משומר, במיץ",58.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2048,1.669999957,1.169999957,14.69999981,28,"רימון, חי, כראוי לאכילה",83.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2049,0.200000003,0.0,11.0,28,מיץ רימונים,44.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
