,protein,total_fat,carbohydrates,alcohol,label,name,food_energy,labels_names
3534,0.5,0.0,21.0,0.0,9,"רוטב צ'ילי חריף, סו שף",84.0,"דגנים מלאים
 דברי מאפה (לחמים) מדגן מלא
 דגנים לא מלאים
 קבוצת קטניות"
3535,1.0,1.200000048,7.5,0.0,19,"מרק בטעם עוף עם ירקות וקרוטונים, נמס בכוס, מוכן מאבקה, קנור",45.0,"ירקות עמילניים
 משקאות ממותקים בסוכר
 משקאות אורז/ שיבולת שועל
 קבוצת הירקות
 קבוצת הפירות
 מוצרי חלב ממותקים בסוכר"
3536,0.800000012,1.5,7.0,0.0,19,"מרק פטריות, נמס בכוס/רגע חם, מוכן אבקה, קנור/אסם",45.0,"ירקות עמילניים
 משקאות ממותקים בסוכר
 משקאות אורז/ שיבולת שועל
 קבוצת הירקות
 קבוצת הפירות
 מוצרי חלב ממותקים בסוכר"
3537,2.400000095,1.600000024,7.199999809,0.0,19,"מרק אפונה עשיר, מוכן מאבקה, קנור",53.0,"ירקות עמילניים
 משקאות ממותקים בסוכר
 משקאות אורז/ שיבולת שועל
 קבוצת הירקות
 קבוצת הפירות
 מוצרי חלב ממותקים בסוכר"
3538,1.100000024,1.600000024,7.800000191,0.0,19,"מרק בטעם עוף עם איטריות ושקדי מרק, מוכן מאבקה, קנור/אסם",50.0,"ירקות עמילניים
 משקאות ממותקים בסוכר
 משקאות אורז/ שיבולת שועל
 קבוצת הירקות
 קבוצת הפירות
 מוצרי חלב ממותקים בסוכר"
3539,4.900000095,11.60000038,68.40000153,0.0,28,"תפוחי אדמה, פירה עם בצל מטוגן, אבקה, קנור",398.0,מידגנים (Cereals)
3540,1.0,2.5,14.60000038,0.0,19,"תפוחי אדמה, פירה עם בצל מטוגן, מוכן , קנור",85.0,"ירקות עמילניים
 משקאות ממותקים בסוכר
 משקאות אורז/ שיבולת שועל
 קבוצת הירקות
 קבוצת הפירות
 מוצרי חלב ממותקים בסוכר"
3541,16.0,18.0,5.0,0.0,18,"נקניק, סלמי קוניאק, טירת צבי",246.0,לא סווג
3542,10.0,9.0,10.0,0.0,19,"נקניק, פסטרמה הודו
 בפפריקה, טירת צבי",161.0,"ירקות עמילניים
 משקאות ממותקים בסוכר
 משקאות אורז/ שיבולת שועל
 קבוצת הירקות
 קבוצת הפירות
 מוצרי חלב ממותקים בסוכר"
3543,15.5,3.5,4.0,0.0,1,"נקניק, פסטרמה הודו בדבש/ דק רומנית, טירת צבי",110.0,"קבוצת הבשר - עוף הודו
 קבוצת הבשר - דגים
 קבוצת הבשר - בשר בקר וצאן
 קבוצת הבשר - תחליפי בשר מהצומח
 ביצים
 מוצרי חלב דל שומן
 תחליפי בשר (לייט)"
3544,2.400000095,18.0,4.800000191,0.0,6,"זיתים מושחרים, חרוזים, 
ללא גלעין, בית השיטה",192.0,לא סווג
3545,13.30000019,5.300000191,76.40000153,0.0,28,"בייגלה, ארוך ארוך מקלות מלוחים, דקים דקים מלח ים, בייגל בייגל",406.0,מידגנים (Cereals)
3546,10.10000038,12.60000038,69.80000305,0.0,20,"בייגלה, דקים דקים, גבינת צ'דר/שמנת בצל",443.0,קבוצת הסוכרים
3547,10.10000038,10.69999981,72.0,0.0,28,"בייגלה, דקים דקים, גבינת צ'דר מתובלת, בייגל בייגל",425.0,מידגנים (Cereals)
3548,10.39999962,14.89999962,70.69999695,0.0,20,"חטיף מלוח אפוי, דג דג, בייגל בייגל",458.0,קבוצת הסוכרים
3549,0.5,29.10000038,12.10000038,0.0,6,"רוטב אלף האיים, הלמנס",312.0,לא סווג
3550,0.699999988,19.29999924,11.0,0.0,6,"רוטב ויניגרט בלסמי , הלמנס",219.0,לא סווג
3551,0.800000012,5.5,16.29999924,0.0,19,"רוטב חרדל ודבש לייט, 5% שומן, הלמנס",118.0,"ירקות עמילניים
 משקאות ממותקים בסוכר
 משקאות אורז/ שיבולת שועל
 קבוצת הירקות
 קבוצת הפירות
 מוצרי חלב ממותקים בסוכר"
3552,5.800000191,29.20000076,63.5,0.0,25,"שוקולד חלב, ורד הגליל",540.0,דברי מאפה מתוקים
3553,8.0,32.29999924,56.0,0.0,25,"קרוטונים מתובלים לסלט/מרק, אסם",547.0,דברי מאפה מתוקים
3554,8.0,3.0,79.0,0.0,17,"פריכונים מאורז מלא, מלוח, אסם",375.0,לא סווג
3555,11.69999981,7.199999809,63.20000076,0.0,28,"קרקר, לחמית שיפון/חיטה מלאה, אסם",367.0,מידגנים (Cereals)
3556,2.24835825,20.0,70.0,0.0,20,"קרקר, לחמית ללא גלוטן, אסם",469.0,קבוצת הסוכרים
3557,15.10000038,3.5,68.69999695,0.0,28,"צנימים עם חיטה מלאה, טוסטעים, אסם",366.0,מידגנים (Cereals)
3558,3.5,12.5,80.0,0.0,20,"חטיף פופקורן, פופקו, בטעם חמאה ודבש, אסם",480.0,קבוצת הסוכרים
3559,7.300000191,7.599999905,72.80000305,0.0,28,"דגני בוקר, CRUNCH, נסטלה",389.0,מידגנים (Cereals)
3560,9.100000381,6.5,75.0,0.0,28,בייגלה שטוחים מתקתקים,395.0,מידגנים (Cereals)
3561,11.60000038,12.30000019,63.5,0.0,20,"בייגלה, שטוחים עם שומשום, אסם",411.0,קבוצת הסוכרים
3562,8.0,24.0,63.5,0.0,20,"קרקר מלוח, חטיפים, אסם",502.0,קבוצת הסוכרים
3563,11.0,4.699999809,80.0,0.0,17,"גביע ופל לגלידה, אסם",406.0,לא סווג
3564,12.5,10.0,67.0,0.0,28,"מג'דרה אורז ועדשים, להכנה מהירה, תערובת יבשה, אסם",408.0,מידגנים (Cereals)
3565,1.600000024,3.700000048,11.89999962,0.0,19,"אטריות, נודלס בטעם בקר/עוף, מנה חמה, מוכן מתערובת, אסם",87.0,"ירקות עמילניים
 משקאות ממותקים בסוכר
 משקאות אורז/ שיבולת שועל
 קבוצת הירקות
 קבוצת הפירות
 מוצרי חלב ממותקים בסוכר"
3566,4.099999905,3.200000048,21.89999962,0.0,9,"מג'דרה, אורז ועדשים, מוכן מתערובת, אסם",133.0,"דגנים מלאים
 דברי מאפה (לחמים) מדגן מלא
 דגנים לא מלאים
 קבוצת קטניות"
3567,3.200000048,2.5,21.20000076,0.0,9,"פתיתים אפוים עם ירקות, מוכן מתערובת יבשה, אסם",120.3000031,"דגנים מלאים
 דברי מאפה (לחמים) מדגן מלא
 דגנים לא מלאים
 קבוצת קטניות"
3568,3.700000048,1.5,21.70000076,0.0,9,"קוסקוס עם ירקות, מנה חמה, מוכן מתערובת, אסם",115.0,"דגנים מלאים
 דברי מאפה (לחמים) מדגן מלא
 דגנים לא מלאים
 קבוצת קטניות"
3569,3.400000095,3.0,22.20000076,0.0,9,"אטריות/פסטה, ברוטב פטריות מוקרם, מוכן מתערובת, אסם",129.0,"דגנים מלאים
 דברי מאפה (לחמים) מדגן מלא
 דגנים לא מלאים
 קבוצת קטניות"
3570,1.0,0.300000012,5.5,0.0,29,"מרק עוף עם אטריות, מוכן מאבקה, אסם",28.0,"משקאות ממותקים בתחליפי סוכר
 משקאות אלכוהוליים שמכילים פחמימות
 מוצרי חלב לא ממותקים
 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט
 קבוצת תחליפי חלב על בסיס קטניות- מוצרי סויה
 משקה אנרגיה"
3571,0.980000019,22.29999924,16.06999969,0.0,6,"קצפת מתוקה מוכנה, לא חלבי, מיכל התזה",264.0,לא סווג
3572,36.15999985,0.769999981,51.97999954,0.0,3,"חלב, אבקה, ללא שומן, ללא תוספת ויטמין A וויטמין D",362.0,לא סווג
3573,0.850000024,0.360000014,5.139999866,0.0,29,"מי גבינה, Whey, מתוק, נוזלי",27.0,"משקאות ממותקים בתחליפי סוכר
 משקאות אלכוהוליים שמכילים פחמימות
 מוצרי חלב לא ממותקים
 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט
 קבוצת תחליפי חלב על בסיס קטניות- מוצרי סויה
 משקה אנרגיה"
3574,15.32999992,25.23999977,1.299999952,0.0,18,"ביצה חלמון לא מבושל, קפוא, מפוסטר",299.0,לא סווג
3575,3.99000001,1.24000001,27.49,0.0,9,"תבלינים, קינמון, טחון",247.0,"דגנים מלאים
 דברי מאפה (לחמים) מדגן מלא
 דגנים לא מלאים
 קבוצת קטניות"
3576,5.96999979,13.0,31.63,0.0,9,"תבלינים, צפורן, טחון",274.0,"דגנים מלאים
 דברי מאפה (לחמים) מדגן מלא
 דגנים לא מלאים
 קבוצת קטניות"
3577,21.93000031,4.78000021,41.70000076,0.0,3,"תבלינים, עלי כוסברה, מיובש",279.0,לא סווג
3578,14.28999996,14.01000023,2.63,0.0,1,"תבלינים, אבקת קארי",325.0,"קבוצת הבשר - עוף הודו
 קבוצת הבשר - דגים
 קבוצת הבשר - בשר בקר וצאן
 קבוצת הבשר - תחליפי בשר מהצומח
 ביצים
 מוצרי חלב דל שומן
 תחליפי בשר (לייט)"
